,Product_Collection,Vertical_Segment,Processor_Number,Status,Launch_Year,Lithography(nm),Recommended_Customer_Price(USD),nb_of_Cores,nb_of_Threads,Processor_Base_Frequency(GHz),Cache(MB),TDP(W),Max_Memory_Bandwidth(GB/s),Instruction_Set(bit),Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Graphics_Base_Frequency(MHz)
261,Intel® Xeon® Processor E3 v3 Family,Server,E3-1220 v3,Launched,2013,22.0,198.0,4.0,4.0,3.1,8.0,80.0,25.6,64,0,1,0
262,Intel® Xeon® Processor E3 v4 Family,Embedded,E3-1258LV4,Launched,2015,14.0,393.0,4.0,8.0,1.8,6.0,47.0,25.6,64,1,1,700
263,Intel® Xeon® Processor E3 v5 Family,Server,E3-1220V5,Launched,2015,14.0,198.0,4.0,4.0,3.0,8.0,80.0,34.1,64,0,1,0
264,Intel® Xeon® Processor E3 v6 Family,Server,E3-1220V6,Launched,2017,14.0,198.0,4.0,4.0,3.0,8.0,72.0,37.5,64,0,1,0
265,Intel® Xeon® Processor E5 v2 Family,Server,E5-2697V2,Launched,2013,22.0,2616.0,12.0,24.0,2.7,30.0,130.0,59.7,64,1,1,0
266,Intel® Xeon® Processor E5 v2 Family,Server,E5-2695V2,Launched,2013,22.0,2338.0,12.0,24.0,2.4,30.0,115.0,59.7,64,1,1,0
267,Intel® Xeon® Processor E5 v4 Family,Server,E5-1620V4,Launched,2016,14.0,295.5,4.0,8.0,3.5,10.0,140.0,76.8,64,1,1,0
268,Intel® Xeon® Processor E5 v4 Family,Server,E5-1630V4,Launched,2016,14.0,406.0,4.0,8.0,3.7,10.0,140.0,76.8,64,1,1,0
269,Intel® Xeon® Processor E5 v4 Family,Server,E5-1650V4,Launched,2016,14.0,619.0,6.0,12.0,3.6,15.0,140.0,76.8,64,1,1,0
270,Intel® Xeon® Processor E5 v4 Family,Server,E5-1660V4,Launched,2016,14.0,1113.0,8.0,16.0,3.2,20.0,140.0,76.8,64,1,1,0
271,Intel® Xeon® Processor E5 v4 Family,Server,E5-1680V4,Launched,2016,14.0,1723.0,8.0,16.0,3.4,20.0,140.0,76.8,64,1,1,0
272,Intel® Xeon® Processor E5 v4 Family,Server,E5-2603V4,Launched,2016,14.0,213.0,6.0,6.0,1.7,15.0,85.0,59.7,64,0,1,0
273,Intel® Xeon® Processor E5 v4 Family,Embedded,E5-2608LV4,Launched,2016,14.0,363.0,8.0,16.0,1.6,20.0,50.0,59.7,64,1,1,0
274,Intel® Xeon® Processor E5 v4 Family,Server,E5-2609V4,Launched,2016,14.0,308.0,8.0,8.0,1.7,20.0,85.0,59.7,64,0,1,0
275,Intel® Xeon® Processor E5 v4 Family,Embedded,E5-2618LV4,Launched,2016,14.0,779.0,10.0,20.0,2.2,25.0,75.0,68.3,64,1,1,0
276,Intel® Xeon® Processor E5 v4 Family,Server,E5-2620V4,Launched,2016,14.0,419.5,8.0,16.0,2.1,20.0,85.0,68.3,64,1,1,0
